X1,Y1,X2,Y2
1905.934692,2760.598145,1878.359985,2731.011475
1905.934692,2760.598145,1915.310181,2764.824951
1905.934692,2760.598145,1910.898193,2758.484863
4526.182617,3337.53418,4520.116211,3329.080811
4526.182617,3337.53418,4519.013184,3337.53418
4526.182617,3337.53418,4533.352051,3337.53418
4456.694336,3248.773682,4453.937012,3248.773682
4456.694336,3248.773682,4458.900391,3252.295898
4456.694336,3248.773682,4460.554688,3249.478271
5467.519043,4539.907227,5456.571777,4520.464355
5467.519043,4539.907227,5449.628418,4543.683105
5467.519043,4539.907227,5475.990234,4567.817383
5629.322266,7516.566895,5652.385742,7550.718262
5629.322266,7516.566895,5623.851562,7516.566895
5629.322266,7516.566895,5634.737793,7496.476074
5361.748047,7174.782715,5360.08252,7174.550293
5361.748047,7174.782715,5370.737305,7182.151367
5361.748047,7174.782715,5374.07373,7174.388184
5145.544922,6898.58252,5144.044922,6895.356445
5145.544922,6898.58252,5153.98291,6907.790039
5145.544922,6898.58252,5145.616699,6902.457031
2940.611572,4082.100586,2937.854248,4081.39624
2940.611572,4082.100586,2948.33252,4083.509521
2940.611572,4082.100586,2953.847656,4088.440674
3390.074951,4656.211914,3379.486084,4653.400879
3390.074951,4656.211914,3388.971924,4659.733887
3390.074951,4656.211914,3391.177734,4653.394043
4188.67334,5676.231445,4185.364258,5673.413574
4188.67334,5676.231445,4190.878906,5679.753906
4188.67334,5676.231445,4202.460449,5662.142578
4190.878906,5679.753906,4195.842773,5685.38916
4195.842773,5685.38916,4194.739746,5687.502441
4195.842773,5685.38916,4202.460449,5691.729492
4195.842773,5685.38916,4214.593262,5665.664551
5157.998047,6914.383301,5154.121094,6915.95459
5153.98291,6907.790039,5157.998047,6914.383301
5157.998047,6914.383301,5157.92627,6917.624023
5150.850586,6912.206543,5157.998047,6914.383301
5157.998047,6914.383301,5164.41748,6922.921387
4282.979004,5796.685059,4276.912598,5790.345215
4282.979004,5796.685059,4280.221191,5799.50293
4282.979004,5796.685059,4289.04541,5803.729492
4282.979004,5796.685059,4286.287598,5793.162598
4414.791992,5965.04834,4416.997559,5961.525879
4432.439453,5987.590332,4430.785156,5990.408203
4424.4375,5981.672852,4432.439453,5987.590332
4434.39209,5983.849609,4432.439453,5987.590332
5049.57959,6775.839844,5054.730469,6774.346191
5233.78418,7011.118164,5233.23291,7026.616211
5233.78418,7011.118164,5240.402344,7011.822754
5233.78418,7011.118164,5230.475586,7011.118164
5340.779785,7150.599121,5337.471191,7143.554688
5337.471191,7143.554688,5335.816406,7141.441406
5337.471191,7143.554688,5334.162109,7147.07666
5335.816406,7141.441406,5336.919434,7139.327637
5335.816406,7141.441406,5331.956055,7140.032227
5504.57959,7356.995117,5507.888672,7347.837402
5504.57959,7356.995117,5497.410156,7354.881836
5504.57959,7356.995117,5502.373535,7365.44873
5504.57959,7356.995117,5512.852051,7359.812988
3371.307373,7402.072754,3377.925293,7385.166016
3371.307373,7402.072754,3369.101562,7406.299805
5825.009277,7766.272461,5823.90625,7752.183594
5825.009277,7766.272461,5843.208984,7768.385742
5825.009277,7766.272461,5831.522461,7772.366211
6157.020508,8190.336426,6143.779297,8186.813965
5831.522461,7772.366211,5831.252441,7774.148438
5831.252441,7774.148438,5831.14209,7774.563965
3784.774658,2390.009277,3787.09082,2390.474121
3784.774658,2390.009277,3784.123779,2388.304443
3784.774658,2390.009277,3783.307617,2390.79126
5255.380859,4268.356445,5255.838867,4276.54248
5255.380859,4268.356445,5255.287109,4266.680176
3680.718506,2256.938965,3676.306396,2247.07666
3680.718506,2256.938965,3716.01416,2257.643555
3680.718506,2256.938965,3692.299805,2317.521484
3680.718506,2256.938965,3675.286133,2256.530518
3838.45166,2458.404053,3841.208984,2448.541748
3838.45166,2458.404053,3843.415039,2456.995117
3838.45166,2458.404053,3830.730713,2461.92627
4221.200195,2947.2771,4215.128418,2947.2771
4585.192871,3412.205811,4585.192871,3407.979004
4585.192871,3412.205811,4582.435547,3401.638916
4585.192871,3412.205811,4593.465332,3417.841309
4585.192871,3412.205811,4593.465332,3408.68335
4520.116211,3329.080811,4512.946777,3326.967529
4520.116211,3329.080811,4520.667969,3324.149658
4827.310059,3721.451416,4818.486328,3708.066895
4827.310059,3721.451416,4823.449707,3720.746826
4827.310059,3721.451416,4833.376953,3722.860352
5296.539062,4320.810059,5306.024902,4322.324219
5296.539062,4320.810059,5296.930664,4317.259277
5296.539062,4320.810059,5283.964844,4318.802246
5426.675293,4477.52832,5422.186035,4481.262207
5422.186035,4481.262207,5419.279785,4476.464844
5422.186035,4481.262207,5424.29834,4485.002441
3792.125977,2406.979492,3797.933105,2406.514404
3797.933105,2406.514404,3800.949951,2406.274902
2877.741211,4001.096191,2877.741211,3988.416016
2877.741211,4001.096191,2871.674805,4001.800537
2877.741211,4001.096191,2878.844238,4014.480713
2877.741211,4001.096191,2883.256104,4001.096191
2896.491943,4013.776123,2897.594971,4026.456299
2892.080078,4027.160645,2897.594971,4026.456299
2897.594971,4026.456299,2903.661377,4026.456299
2897.594971,4026.456299,2898.697998,4039.83374
3103.848877,4289.905762,3107.709229,4294.132324
3103.848877,4289.905762,3097.230713,4284.974609
3088.406982,4270.181152,3088.958496,4263.136719
3088.406982,4270.181152,3083.211914,4267.969238
3097.782227,4275.816895,3088.406982,4270.181152
3088.406982,4270.181152,3109.36377,4269.476562
7116.313477,3875.197266,7154.140625,4021.539307
7116.313477,3875.197266,7232.855469,3790.494385
7116.313477,3875.197266,7084.100586,3837.685303
3420.964111,4694.956543,3420.412598,4690.729492
3420.964111,4694.956543,3410.480225,4705.516113
3420.964111,4694.956543,3424.824463,4694.956543
3984.057373,5414.176758,3984.057373,5405.019043
3984.057373,5414.176758,3990.123779,5413.472168
3984.057373,5414.176758,3980.197021,5414.176758
4038.655518,5483.916992,4036.449463,5479.69043
4038.655518,5483.916992,4031.486084,5487.439453
4038.655518,5483.916992,4040.861328,5488.848145
4038.655518,5483.916992,4050.78833,5475.463867
5408.751953,7233.977539,5409.76123,7266.769531
5408.751953,7233.977539,5409.92627,7220.924316
4289.04541,5803.729492,4292.354492,5799.50293
4289.04541,5803.729492,4286.287598,5805.138184
4289.04541,5803.729492,4294.008789,5807.956055
4334.819336,5862.19873,4332.062012,5862.19873
4334.819336,5862.19873,4329.304688,5867.129883
4334.819336,5862.19873,4337.577148,5858.67627
4334.819336,5862.19873,4341.4375,5861.494141
4372.87793,5910.805664,4369.569336,5907.987793
4372.87793,5910.805664,4369.569336,5914.327637
4372.87793,5910.805664,4375.635742,5914.327637
4375.635742,5914.327637,4378.393066,5909.396484
4375.635742,5914.327637,4369.017578,5919.963379
4375.635742,5914.327637,4380.599121,5918.554688
4410.379883,5958.708008,4407.070801,5958.003418
4410.379883,5958.708008,4408.725098,5963.63916
4413.048828,5959.074219,4410.379883,5958.708008
4606.160645,6208.780273,4608.917969,6203.144531
4606.160645,6208.780273,4603.40332,6213.006836
4606.160645,6208.780273,4618.845215,6217.233398
5326.992676,7129.46582,5331.404785,7129.46582
5326.992676,7129.46582,5326.992676,7123.830078
5381.937988,7199.642578,5379.98584,7187.004883
5387.679199,7206.109375,5381.937988,7199.642578
5445.569824,7280.915039,5440.605957,7280.915039
5445.569824,7280.915039,5458.805664,7280.915039
5445.569824,7280.915039,5452.739258,7271.05957
5582.346191,7455.618164,5582.346191,7463.366699
5752.211914,7672.581055,5757.727051,7659.196289
5752.211914,7672.581055,5747.248535,7669.058594
5752.211914,7672.581055,5750.005859,7679.625488
5752.211914,7672.581055,5757.175293,7676.103027
5230.933105,7006.694336,5229.923828,7003.369141
5230.933105,7006.694336,5208.382324,7007.610352
5230.475586,7011.118164,5230.933105,7006.694336
5377.63623,4424.025391,5374.376953,4423.109863
6160.32959,8162.165527,6119.519043,8141.447754
6119.519043,8141.447754,6114.467285,8142.757812
3784.123779,2388.304443,3781.834961,2389.276611
3784.123779,2388.304443,3786.19751,2387.423828
3779.44165,2382.32373,3779.44165,2378.801514
3779.44165,2382.32373,3771.720703,2387.254883
3784.956543,2387.254883,3779.44165,2382.32373
5144.044922,6895.356445,5144.254395,6883.944336
5144.044922,6895.356445,5139.633301,6892.003418
5233.227539,4250.478027,5233.22168,4239.206543
5233.22168,4239.206543,5233.22168,4235.61377
5233.22168,4239.206543,5224.949219,4239.206543
5247.014648,4251.886719,5242.603027,4251.182129
5242.603027,4251.182129,5242.603027,4245.546875
5242.603027,4251.182129,5238.190918,4251.182129
5247.014648,4256.817871,5247.014648,4251.886719
5247.014648,4256.817871,5233.227539,4256.817871
5246.463379,4263.862305,5247.014648,4256.817871
5247.014648,4256.817871,5253.081055,4256.817871
2961.562988,4102.529785,2961.562988,4107.460938
2961.562988,4107.460938,2959.356934,4107.460938
2961.562988,4107.460938,2964.320557,4107.460938
4454.085938,3243.920166,4461.657715,3235.38916
4452.282227,3245.956055,4454.085938,3243.920166
3107.709229,4294.132324,3104.95166,4297.654785
3107.709229,4294.132324,3114.878662,4299.768066
3107.709229,4294.132324,3112.121094,4289.905762
3374.081543,4634.374023,3371.323975,4632.964844
3372.978516,4640.713867,3374.081543,4634.374023
3377.941895,4635.078125,3374.081543,4634.374023
3374.081543,4634.374023,3376.287354,4627.329102
3930.005371,5344.436523,3930.556885,5341.618652
3930.005371,5344.436523,3929.453857,5347.254395
3930.005371,5344.436523,3935.520264,5339.512207
4227.277832,5726.24707,4247.683105,5750.198242
4244.374023,5753.720703,4247.683105,5750.198242
4255.955566,5758.651855,4247.683105,5750.198242
4595.130859,6193.986816,4581.343262,6185.533203
